Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;79538350-6;CONSTRUCTORA GARDILCIC LTDA;33;10/02/2025;10/02/2025 12:54:47;17/02/2025 10:21:10;;0;13059971;2481394;15541365;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90564674;;;;;
2;33;Del Giro;79538350-6;CONSTRUCTORA GARDILCIC LTDA;34;10/02/2025;10/02/2025 13:02:27;17/02/2025 10:21:10;;0;13059971;2481394;15541365;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90564674;;;;;
3;33;Del Giro;79538350-6;CONSTRUCTORA GARDILCIC LTDA;35;10/02/2025;10/02/2025 13:07:41;17/02/2025 10:21:10;;0;13059971;2481394;15541365;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90564674;;;;;
4;33;Del Giro;79538350-6;CONSTRUCTORA GARDILCIC LTDA;36;10/02/2025;10/02/2025 13:12:00;17/02/2025 10:21:11;;0;11523504;2189466;13712970;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90564674;;;;;
5;33;Del Giro;79538350-6;CONSTRUCTORA GARDILCIC LTDA;37;10/02/2025;10/02/2025 13:38:19;17/02/2025 10:21:11;;0;13828205;2627359;16455564;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90564674;;;;;
6;33;Del Giro;79538350-6;CONSTRUCTORA GARDILCIC LTDA;38;10/02/2025;10/02/2025 13:44:25;17/02/2025 10:21:11;;0;17285256;3284199;20569455;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90564674;;;;;
7;33;Del Giro;79538350-6;CONSTRUCTORA GARDILCIC LTDA;39;10/02/2025;10/02/2025 13:49:28;;;0;859972;163395;1023367;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;90564674;;;;;
8;33;Del Giro;79538350-6;CONSTRUCTORA GARDILCIC LTDA;40;10/02/2025;10/02/2025 13:51:03;18/02/2025 14:07:31;;0;659800;125362;785162;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;90564674;;;;;
9;33;Del Giro;76825693-4;JUAN GONZALEZ VALENZUELA SPA;41;19/02/2025;19/02/2025 12:13:02;;;0;29412;5588;35000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;1;0;0;0;;;;90564674;;;;;
10;61;Del Giro;76825693-4;JUAN GONZALEZ VALENZUELA SPA;5;19/02/2025;19/02/2025 12:17:59;;;0;29412;5588;35000;0;0;0;0;0;-;0;0;0;0;33;41;;;0;;0;0;0;0;0;;;;90564674;;;;;
